"TIME"	"CONFIRMED"	"RECOVERED"	"DEATHS"	"ACTIVE"	"CONFIRMED.spb"	"HOSPITALIZED.today"	"PCR.tested"	"v1.CS"	"v2.CS"	"Yandex.ACTIVITY.points"
2021-05-01	718	982	36	27215	399	228	18746	571291	439956	51
2021-05-02	704	755	34	27130	336	213	8648	573057	443242	46
2021-05-03	709	801	34	27004	339	207	11203	576666	452149	45
2021-05-04	711	873	33	26809	901	234	9199	580463	460540	66
2021-05-05	715	881	35	26608	783	287	15894	584290	468053	71
2021-05-06	722	871	31	26428	967	323	17470	588223	475310	67
2021-05-07	726	861	34	26259	875	327	19646	590322	478178	68
2021-05-08	729	821	37	26130	402	353	16210	590953	478930	46
2021-05-09	724	732	30	26092	365	273	12678	592573	481963	48
2021-05-10	717	809	35	25965	399	241	10772	596806	491547	47
2021-05-11	734	933	39	25727	1213	302	15986	602027	499874	100
2021-05-12	741	1042	31	25395	1095	379	22201	606880	507555	100
2021-05-13	739	1164	35	24935	1229	433	30133	615014	515524	100
2021-05-14	749	1676	34	23974	1307	407	27582	619580	518527	100
2021-05-15	767	1069	36	23636	518	446	23964	621865	519656	65
2021-05-16	763	666	39	23694	334	339	15010	626822	526303	51
2021-05-17	772	1032	43	23391	1404	254	12955	632212	533174	100
2021-05-18	784	1427	37	22711	1351	443	18333	638252	539209	100
2021-05-19	791	1501	40	21961	1293	403	25647	643893	545028	100
2021-05-20	815	1266	43	21467	1171	413	24114	649986	550844	100
2021-05-21	833	1327	35	20938	1485	397	23272	652750	552562	97
2021-05-22	842	414	40	21326	476	421	23488	653932	553352	64
2021-05-23	851	116	38	22023	312	284	14176	659835	556163	41
2021-05-24	844	1266	46	21555	1530	270	13842	665943	559976	96
2021-05-25	839	1161	39	21194	1362	462	20157	671816	563955	99
2021-05-26	836	1391	31	20608	1495	404	26832	677650	567538	92
2021-05-27	840	1172	33	20243	1375	443	25190	684087	571398	98
2021-05-28	846	1248	41	19800	1697	421	26263	687097	573186	97
2021-05-29	829	498	39	20092	596	443	23735	688078	573720	63
2021-05-30	822	813	40	20061	NA	321	15928	694264	576570	53
2021-05-31	817	1249	38	19591	1730	329	17334	700711	580412	97
2021-06-01	828	1000	36	19383	1670	510	21582	NA	NA	100
